drug,usage,dosage,side_effects
Drug_369,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_370,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_371,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_372,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_373,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_374,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_375,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_376,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_377,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_378,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_379,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_380,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_381,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_382,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_383,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_384,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_385,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_386,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_387,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_388,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_389,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_390,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_391,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_392,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_393,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_394,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_395,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_396,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_397,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_398,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_399,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_400,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_401,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_402,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_403,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_404,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_405,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_406,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_407,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_408,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_409,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_410,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_411,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_412,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_413,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_414,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_415,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_416,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_417,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_418,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_419,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_420,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_421,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_422,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_423,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_424,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_425,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_426,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_427,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_428,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_429,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_430,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_431,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_432,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_433,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_434,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_435,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_436,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_437,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_438,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_439,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_440,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_441,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_442,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_443,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_444,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_445,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_446,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_447,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_448,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_449,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_450,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_451,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_452,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_453,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_454,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_455,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_456,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_457,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_458,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_459,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_460,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_461,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_462,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_463,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_464,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_465,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_466,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_467,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_468,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_469,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_470,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_471,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_472,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_473,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_474,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_475,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_476,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_477,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_478,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_479,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_480,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_481,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_482,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_483,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_484,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_485,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_486,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_487,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_488,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_489,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_490,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_491,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_492,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_493,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_494,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_495,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_496,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_497,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_498,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_499,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_500,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
